x,y,heading,curvature
2.715644127067723446e+01,-1.361528109556297217e+01,-2.621390520033989535e+00,-4.135685891405745107e-02
2.704960645762202986e+01,-1.367652070618215099e+01,-2.617967660918929518e+00,9.703669546802227985e-02
2.694354164841032429e+01,-1.373881010588698892e+01,-2.603321457627982838e+00,1.068750183669334858e-01
2.683843122663853364e+01,-1.380240067452413477e+01,-2.592464217439606422e+00,6.981575891010256829e-02
2.673394562761524185e+01,-1.386684309773615276e+01,-2.586182405213012458e+00,3.249430026301840246e-02
2.662975039770157082e+01,-1.393168139579242748e+01,-2.584490868010739018e+00,-4.935409103498600292e-03
2.652551140797260842e+01,-1.399646003166534314e+01,-2.587312829987842289e+00,-3.446288527224378173e-02
2.642100534266215206e+01,-1.406087454689281024e+01,-2.590926571364827957e+00,-2.441523330393152030e-02
2.631628085452904742e+01,-1.412499127484924166e+01,-2.593308823430164445e+00,-1.438906525822924477e-02
2.621142756097158255e+01,-1.418893239858463851e+01,-2.594461017866958041e+00,-4.376183128267119651e-03
2.610653507938803131e+01,-1.425282010114898412e+01,-2.594383871931860153e+00,5.632565516333346706e-03
2.600168899490315511e+01,-1.431677106771354779e+01,-2.593355280473705449e+00,8.065071238083443630e-03
2.589691386547672991e+01,-1.438081877482034088e+01,-2.592529561990607689e+00,5.382755393786022372e-03
2.579218691356902227e+01,-1.444493215853946033e+01,-2.592033351206847414e+00,2.699090311233451681e-03
2.568748412322575803e+01,-1.450907846640153132e+01,-2.591866730667222729e+00,1.475432312860482765e-05
2.558278147860421115e+01,-1.457322494608945895e+01,-2.592029563904742151e+00,-2.574164690604968924e-03
2.547806047914502159e+01,-1.463734637331434563e+01,-2.592301282099938042e+00,-1.851503401444974488e-03
2.537332290897472831e+01,-1.470144521115668823e+01,-2.592484274284014401e+00,-1.128964270993610026e-03
2.526857521451214694e+01,-1.476553028644397259e+01,-2.592578548534059557e+00,-4.065005791704700612e-04
2.516382384217610735e+01,-1.482961042600368096e+01,-2.592584109085019684e+00,3.159347830257547242e-04
2.505907510605790378e+01,-1.489369427335241447e+01,-2.592512957688841713e+00,6.124307902245107894e-04
2.495433159762347231e+01,-1.495778531512201148e+01,-2.592450387474956930e+00,4.066594726825176090e-04
2.484959176410531612e+01,-1.502188129701362840e+01,-2.592413085789979643e+00,2.008811603314237593e-04
2.474485383578243614e+01,-1.508597966418672165e+01,-2.592401053083338347e+00,-4.901487493731174772e-06
2.464011604293383684e+01,-1.515007786180073879e+01,-2.592414289587025689e+00,-2.106858170924805153e-04
2.453537689787058085e+01,-1.521417379846230666e+01,-2.592437899221679665e+00,-1.437969982291061087e-04
2.443063648678500144e+01,-1.527826796904718698e+01,-2.592449376064088984e+00,-4.312995433628703822e-05
2.432589544160612505e+01,-1.534236176520909467e+01,-2.592448491547604483e+00,5.753593691843414957e-05
2.422115439479911103e+01,-1.540645657948273950e+01,-2.592435245808887512e+00,1.581992930870718995e-04
2.411641397117644914e+01,-1.547055378018078287e+01,-2.592411517507461571e+00,1.634505625558936755e-04
2.401167429153501587e+01,-1.553465314032009381e+01,-2.592403534074424698e+00,-3.342368775236202727e-05
2.390693466850256854e+01,-1.559875187492372284e+01,-2.592419726274017400e+00,-2.303019503750145284e-04
2.380219434193941552e+01,-1.566284696869337090e+01,-2.592460094967078188e+00,-4.271975803015179212e-04
2.369745255170590070e+01,-1.572693540633073717e+01,-2.592524642107586264e+00,-6.241239291493645182e-04
2.359270876180790211e+01,-1.579101514064749168e+01,-2.592582720584372336e+00,-1.568024552298710457e-04
2.348796437712732654e+01,-1.585509250731787745e+01,-2.592559798771524981e+00,5.301441374503517443e-04
2.338322179765906128e+01,-1.591917814002150955e+01,-2.592452531090306156e+00,1.216952453038555983e-03
2.327848343149663179e+01,-1.598328270741688506e+01,-2.592260936090412304e+00,1.903445490078476635e-03
2.317375167531927715e+01,-1.604741682723683738e+01,-2.591991659872367570e+00,1.999138765489593284e-03
2.306902586336195782e+01,-1.611157745389893137e+01,-2.591902689909780566e+00,-5.501913810193022683e-04
2.296429815080941594e+01,-1.617572951197187336e+01,-2.592126821234440381e+00,-3.100053485670170063e-03
2.285955966542721640e+01,-1.623983334211995810e+01,-2.592664197901486389e+00,-5.652902399397418363e-03
2.275480153498096314e+01,-1.630384928500752650e+01,-2.593515164610909363e+00,-8.211185652793396780e-03
2.265001650032399283e+01,-1.636774489556002266e+01,-2.594401205887344464e+00,-3.359260930063960940e-03
2.254522021077098159e+01,-1.643159018290604934e+01,-2.594228440361686872e+00,6.174093901645149457e-03
2.244044534287601422e+01,-1.649553130761127306e+01,-2.592886430628155381e+00,1.568534578338337884e-02
2.233572497748322760e+01,-1.655971623835991124e+01,-2.590378388461395787e+00,2.514017404149977014e-02
2.223109219318454777e+01,-1.662429293376171202e+01,-2.586715739128358837e+00,3.252570211579378090e-02
2.212655037470759822e+01,-1.668927652863951039e+01,-2.584886701829513189e+00,-2.770185073184362745e-03
2.202199885112360533e+01,-1.675421670588927370e+01,-2.587398885026491069e+00,-3.810383651884861195e-02
2.191731417129041404e+01,-1.681856125010980207e+01,-2.594274996441952474e+00,-7.395226810317145905e-02
