30.6,-10.7
27.5,-13.4
20.8,-17.5
18.8,-17.2
17.1,-14
15.1,-11.4
16,-9.5
20.3,-6.58
25.1,-3.95
27.4,-4.76
30.8,-8.22
30.6,-10.7
